Zone DNS	Adresses	Latitudes	Longitudes	Codes	Communes
www.portcros-parcnational.fr	Parc National de Port-Cros, 83400, Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.00997000000007	6.381690000000049	83400	Hyères
www.portcros-parcnational.fr	Parc National de Port-Cros, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.02159000000006	6.325020000000052		
www.ramatuelle-tourisme.com	Ramatuelle, Var, Provence-Alpes-Côte d'Azur, FRA	43.21456000000006	6.613500000000045		Ramatuelle
www.ramatuelle-tourisme.com	Ramatuelle, Brignoles, Var, Provence-Alpes-Côte d'Azur, FRA	43.413920000000076	6.016670000000033		Brignoles
fort-eminence-port-cros.blogspot.com	Port-Cros, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.01017000000007	6.382050000000049		Port-Cros
www.restaurant-trinquette-port-cros.fr	Port-Cros, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.01017000000007	6.382050000000049		Port-Cros
www.hyeres-tourism.co.uk	Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.12021000000004	6.13101000000006		Hyères
www.hyeres-tourisme.com	Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.12021000000004	6.13101000000006		Hyères
www.location-hyeres-bateaux.fr	Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.12021000000004	6.13101000000006		Hyères
www.location-semi-rigide-hyeres.com	Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.12021000000004	6.13101000000006		Hyères
www.location-hyeres-bateaux.com	Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.12021000000004	6.13101000000006		Hyères
location-semi-rigide-hyeres.fr	Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.12021000000004	6.13101000000006		Hyères
location-semi-rigide-hyeres.fr	L'Hyère, Aiguines, Var, Provence-Alpes-Côte d'Azur, FRA	43.75135000000006	6.259100000000046		Aiguines
www.location-semi-rigide-hyeres.fr	Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.12021000000004	6.13101000000006		Hyères
www.location-semi-rigide-hyeres.fr	L'Hyère, Aiguines, Var, Provence-Alpes-Côte d'Azur, FRA	43.75135000000006	6.259100000000046		Aiguines
location-semi-rigide-hyeres.com	Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.12021000000004	6.13101000000006		Hyères
location-hyeres-bateaux.fr	Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.12021000000004	6.13101000000006		Hyères
location-hyeres-bateaux.com	Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.12021000000004	6.13101000000006		Hyères
verticalhorizon.fr	Horizon, 575 Avenue Charles de Gaulle, 83500, La Seyne-sur-Mer, Var, Provence-Alpes-Côte d'Azur, FRA	43.07934994892958	5.89245997446483	83500	La Seyne-sur-Mer
www.port-cros.net	Port-Cros, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.01017000000007	6.382050000000049		Port-Cros
iml.univ-mrs.fr	Univers, 3 Rue Gabriel Péri, 83390, Pierrefeu-du-Var, Var, Provence-Alpes-Côte d'Azur, FRA	43.22714000000008	6.143310000000042	83390	Pierrefeu-du-Var
www.provence-alpes-cote-d-azur.equipement.gouv.fr	La Provence, Saint-Cyr-sur-Mer, Var, Provence-Alpes-Côte d'Azur, FRA	43.18699000000004	5.703270000000032		Saint-Cyr-sur-Mer
bastide-nans-les-pins.fr	Nans-les-Pins, Var, Provence-Alpes-Côte d'Azur, FRA	43.37024000000008	5.7835000000000605		Nans-les-Pins
bastide-nans-les-pins.fr	Lieu-dit Bastide Blanche, 83860, Nans-les-Pins, Var, Provence-Alpes-Côte d'Azur, FRA	43.3793835	5.811590250000011	83860	Nans-les-Pins
pierrefeu.blogspot.com	Pierrefeu, Nans-les-Pins, Var, Provence-Alpes-Côte d'Azur, FRA	43.38288000000006	5.776190000000042		Nans-les-Pins
pierrefeu.blogspot.com	Pierrefeu, Carcès, Var, Provence-Alpes-Côte d'Azur, FRA	43.46914000000004	6.218130000000031		Carcès
lelavandou.eu	Le Lavandou, Var, Provence-Alpes-Côte d'Azur, FRA	43.138990000000035	6.370810000000063		Le Lavandou
lavandou-plongee.com	Le Lavandou, Var, Provence-Alpes-Côte d'Azur, FRA	43.138990000000035	6.370810000000063		Le Lavandou
www.larochere.marzolf.eu	La Rochère, 88 Chemin de la Régie, 83330, Le Plan du Castellet, Le Castellet, Var, Provence-Alpes-Côte d'Azur, FRA	43.17444994388065	5.773220080500861	83330	Le Castellet
vareconews.fr	Le Varech, Monterblanc, Morbihan, Bretagne, FRA	47.73111000000006	-2.7118299999999635		Monterblanc
vareconews.fr	Le Varech, Saint-Nolff, Morbihan, Bretagne, FRA	47.70172000000008	-2.6465599999999654		Saint-Nolff
vareconews.fr	News, 102 Rue Charles Gounod, 83700, Saint-Raphaël, Var, Provence-Alpes-Côte d'Azur, FRA	43.4220600255353	6.767720000000054	83700	Saint-Raphaël
www.lelavandou.eu	Le Lavandou, Var, Provence-Alpes-Côte d'Azur, FRA	43.138990000000035	6.370810000000063		Le Lavandou
velo-porquerolles.fr	Porquerolles, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.00116000000003	6.202650000000062		Porquerolles
velo-porquerolles.fr	Porquerolles, Rue François-Joseph Fournier, 83400, La Tour Fondue, Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.02875000000006	6.1553800000000365	83400	Hyères
www.espacemer.fr	L'Espacier, Roquebrune-sur-Argens, Var, Provence-Alpes-Côte d'Azur, FRA	43.44784000000004	6.622220000000027		Roquebrune-sur-Argens
gite-de-plongee-du-gapeau.com	Gapeau, Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.11522000000008	6.184960000000046		Hyères
