Zone DNS	Adresses	Latitudes	Longitudes	Codes1	Occurrences	Codes
www.portcros-parcnational.fr	Parc National de Port-Cros, 83400, Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.00997000000007	6.381690000000049	83400	10592	Môle
www.portcros-parcnational.fr	Parc National de Port-Cros, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.02159000000006	6.325020000000052	83048	5000	Solliès-Toucas
www.ramatuelle-tourisme.com	Ramatuelle, Var, Provence-Alpes-Côte d'Azur, FRA	43.21456000000006	6.613500000000045	83023	8328	Saint-Mandrier-sur-Mer
www.ramatuelle-tourisme.com	Ramatuelle, Brignoles, Var, Provence-Alpes-Côte d'Azur, FRA	43.413920000000076	6.016670000000033	83008	6000	Châteauvieux
www.bandol-blog.com	Bandol, Var, Provence-Alpes-Côte d'Azur, FRA	43.13620000000003	5.753320000000031	83009	83560	Bandol
www.portcros-parcnational.fr	Parc National de Port-Cros, 83400, Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.00997000000007	6.381690000000049	83121	17200	Motte
www.portcros-parcnational.fr	Parc National de Port-Cros, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.02159000000006	6.325020000000052	83085	11598	Salernes
www.ramatuelle-tourisme.com	Ramatuelle, Var, Provence-Alpes-Côte d'Azur, FRA	43.21456000000006	6.613500000000045	83131	50	Bagnols-en-Forêt
www.ramatuelle-tourisme.com	Ramatuelle, Brignoles, Var, Provence-Alpes-Côte d'Azur, FRA	43.413920000000076	6.016670000000033	83350	25	Brignoles
fort-eminence-port-cros.blogspot.com	Port-Cros, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.01017000000007	6.382050000000049	83040	380	Croix-Valmer
